,zugnr,mean_delay
125,ICE 602,13.342756183745584
126,ICE 603,14.97979797979798
127,ICE 610,19.294117647058822
128,ICE 611,22.5859375
129,ICE 612,20.691046658259772
130,ICE 613,24.75537634408602
131,ICE 614,19.778625954198475
132,ICE 615,20.845373891001266
133,ICE 616,13.488681757656458
134,ICE 618,6.849431818181818
135,ICE 619,8.048442906574394
136,ICE 620,15.653206650831354
137,ICE 621,9.18058968058968
138,ICE 622,12.176814988290397
139,ICE 623,13.025149700598803
140,ICE 624,10.86590524534687
141,ICE 625,11.316820276497696
142,ICE 626,12.24354657687991
143,ICE 627,10.266439909297052
144,ICE 628,10.327251995438997
145,ICE 629,12.31715976331361
146,ICE 650,22.60398505603985
147,ICE 651,17.072704081632654
148,ICE 652,29.88139825218477
149,ICE 653,17.822754491017964
150,ICE 654,19.29353233830846
151,ICE 655,16.964779874213836
152,ICE 656,22.202614379084967
153,ICE 657,20.25668449197861
154,ICE 680,7.631979695431472
155,ICE 690,9.11451247165533
156,ICE 691,15.580232558139535
157,ICE 692,8.535754824063565
158,ICE 693,15.174464363795366
159,ICE 695,20.555555555555557
160,ICE 698,7.021454112038141
161,ICE 699,8.88963963963964
162,ICE 701,10.722033898305085
163,ICE 702,13.211392405063291
164,ICE 703,8.980392156862745
165,ICE 704,9.379258137774414
166,ICE 705,9.969662921348315
167,ICE 706,9.180637544273909
168,ICE 707,11.30167597765363
169,ICE 708,7.054437869822485
170,ICE 709,11.354166666666666
171,ICE 720,11.378823529411765
172,ICE 721,11.364678899082568
173,ICE 722,10.085612366230677
174,ICE 723,13.064552661381654
175,ICE 724,9.825665859564165
176,ICE 725,13.100584795321637
177,ICE 726,11.248792270531402
178,ICE 727,14.690505548705302
179,ICE 728,9.270560190703218
180,ICE 729,10.177399756986635
181,ICE 771,19.088845014807504
182,ICE 789,9.122630992196209
183,ICE 800,8.37206572769953
184,ICE 801,11.341324200913242
185,ICE 802,7.788511749347259
186,ICE 804,5.876470588235295
187,ICE 820,12.016973125884016
188,ICE 821,10.546575342465754
189,ICE 822,6.061007957559681
190,ICE 824,7.742857142857143
191,ICE 825,10.885714285714286
192,ICE 827,10.875714285714286
193,ICE 830,7.991596638655462
194,ICE 831,13.29296875
195,ICE 833,11.878834355828221
196,ICE 840,9.384615384615385
197,ICE 842,20.130588235294116
198,ICE 843,12.793438639125151
199,ICE 844,17.124260355029588
200,ICE 845,18.900134952766532
201,ICE 847,15.559139784946236
202,ICE 848,21.12465373961219
203,ICE 849,16.159259259259258
204,ICE 852,34.52439024390244
205,ICE 854,24.73509015256588
206,ICE 855,17.63986013986014
207,ICE 856,24.824780976220275
208,ICE 857,15.443670150987224
209,ICE 858,27.93781725888325
210,ICE 859,16.00721153846154
211,ICE 876,16.0
212,ICE 880,5.405446293494705
213,ICE 918,15.27155172413793
214,ICE 920,17.53529411764706
215,ICE 921,23.209876543209877
216,ICE 935,11.94818652849741
217,ICE 947,16.79151061173533
218,ICE 948,7.614441416893733
219,ICE 949,11.368932038834952
220,ICE 950,30.206683168316832
221,ICE 951,15.265133171912833
222,ICE 952,30.191011235955056
223,ICE 953,19.408396946564885
224,ICE 954,24.964520367936924
225,ICE 955,18.376262626262626
226,ICE 956,24.303797468354432
227,ICE 957,21.61904761904762
228,NJ 420,26.38074398249453
229,NJ 421,18.8272884283247
230,TGV 9576,4.62874251497006
231,TGV 9579,4.866666666666666
